cast,director,genre,imdb_id,movie,movie_title,publication_date,rating
"Ofer Regirer, Guy Zoaretz, Yuval Raz, Yiftach Mizrahi, Oshri Sahar",Yair Hochner,"סרט דרמה, סרט רומנטי",tt1234240,http://www.wikidata.org/entity/Q19274268,אנטרקטיקה,2008-01-01T00:00:00Z,6
"לבנה פינקלשטיין, מיכל בת-אדם, אבנר חזקיהו, יוסף שילוח",משה מזרחי,"סרט דרמה, סרט רומנטי",tt0068213,http://www.wikidata.org/entity/Q1634440,אני אוהב אותך רוזה,1972-01-01T00:00:00Z,6.6
"Aviv Talmor, David Danino, Yadin Elam, Irit Gidron, Irit Gordon",Aviv Talmor,"Documentary, Biography, Drama",tt2841672,http://www.wikidata.org/entity/Q52837334,אני ביאליק,2014-01-01T00:00:00Z,7.2
"Albert Cohen, Rahel Dayan, Giora Hamai, Amos Lavi, Oshik Levi",Uzi Peres,"Drama, Romance",tt0133370,http://www.wikidata.org/entity/Q52837337,אני והמאהב של אשתי,1983-01-01T00:00:00Z,
"Yehoram Gaon, Rahel Zimmerman, Hanny Nahmias",Yehoram Gaon,"Documentary, Musical",tt0162860,http://www.wikidata.org/entity/Q52837339,אני ירושלמי,1971-01-01T00:00:00Z,8.1
"הילי ילון, יוסי מרשק, דוד קיגלר, נלי תגר, אורי יניב, דרור קרן, צחי גראד",טל גולדברג,"Action, Comedy, Sci-Fi",tt2819130,http://www.wikidata.org/entity/Q16132832,"אני לא מאמין, אני רובוט?!",2015-01-01T00:00:00Z,5.7
"Nataly Attiya, Hanna Azoulay Hasfari, Shimon Buskila, Itamar Cohen, Meytal Gal",Hanna Azoulay Hasfari,"Drama, Family",tt2901396,http://www.wikidata.org/entity/Q52837340,אנשים כתומים,2013-01-01T00:00:00Z,6.4
"Yonatan Bar-Or, Hadas Ben Aroya, Netser Charitt, Hagar Enosh, Eric Raphael Mizrahi",Hadas Ben Aroya,"Drama, Romance",tt5069012,http://www.wikidata.org/entity/Q31197633,אנשים שהם לא אני,2016-12-28T22:00:00Z,6.6
,ענת אבן,סרט תיעודי,tt0321310,http://www.wikidata.org/entity/Q1307512,אסורות,2001-01-01T00:00:00Z,8.7
"Ya'ackov Banai, Ya'ackov Ben-Sira, Eli Cohen, Jacques Cohen, Gabi Eldor",Yona Zaretsky,Drama,tt0133382,http://www.wikidata.org/entity/Q52837342,אסירי החופש,1968-01-01T00:00:00Z,
"Raida Adon, Tatjana Blacher, Moshe Ivgy, Motti Katz, Sami Samir",Dan Verete,"Drama, Romance",tt0289074,http://www.wikidata.org/entity/Q8051668,אספלט צהוב,2001-01-01T00:00:00Z,6.8
"צחי נוי, יהונתן סגל",בועז דוידזון,סרט נעורים,tt0079118,http://www.wikidata.org/entity/Q946157,אסקימו לימון,1978-01-01T00:00:00Z,6.5
"Shani Aloni, Ilana Avital, Uri Avrahami, Shlomo Ben Naim, Dvir Benedek",צבי שיסל,"Comedy, Romance",tt0289730,http://www.wikidata.org/entity/Q1003103,אסקימו לימון 9 - החגיגה נמשכת,2001-03-08T00:00:00Z,3.7
מוסקו אלקלעי,Jonathan Paz,"Comedy, Drama",tt0910890,http://www.wikidata.org/entity/Q7735622,אסקימוסים בגליל,2006-01-01T00:00:00Z,6.7
"Batia Bar, Gili Ben-Ozilio, Hadar Avigad, Eli Ben-rey, Hadas Porat",Hadar Friedlich,סרט דרמה,tt1961298,http://www.wikidata.org/entity/Q2893316,A Beautiful Valley,2011-01-01T00:00:00Z,5.8
,יואב שמיר,סרט תיעודי,tt0391857,http://www.wikidata.org/entity/Q15052375,Checkpoint,2003-01-01T00:00:00Z,7.9
"ג'וש לוקאס, Catherine Kellner, David Wu",Jule Gilfillan,"Romance, Comedy",tt0183700,http://www.wikidata.org/entity/Q7316134,Restless,1998-01-01T00:00:00Z,6.3
,תמר טל,סרט תיעודי,tt5921524,http://www.wikidata.org/entity/Q27042229,Shalom Italia,2016-01-01T00:00:00Z,7.2
,שמעון דותן,סרט תיעודי,tt5278914,http://www.wikidata.org/entity/Q24659915,The Settlers,2016-01-01T00:00:00Z,7.6
עמוס עוז,יאיר קדר,"Documentary, Biography, History",tt6114738,http://www.wikidata.org/entity/Q49998862,Zelda - Eisha Pshuta,2014-12-31T22:00:00Z,
"Yaron Brovinsky, Keren Berger, Omer Barnea, Keren Mor, Dvir Benedek",Roi Werner,"Comedy, Drama, Romance",tt1685486,http://www.wikidata.org/entity/Q12403186,2 בלילה,2010-12-31T22:00:00Z,7.2
,Amit Goren,Documentary,tt0109019,http://www.wikidata.org/entity/Q52837380,"6 פתוח, 21 סגור",1995-01-01T00:00:00Z,
"Edna Fliedel, Avner Hizkiyahu, Uri Zohar, Shoshana Shani-Lavie, Yossi Banai",Menahem Golan,"Comedy, Drama",tt0133330,http://www.wikidata.org/entity/Q25494310,999... עליזה מזרחי,1966-12-31T22:00:00Z,7.5
"ששון גבאי, יורגן שולץ, יבגניה דודינה, יוסף אל-דרור, דרור קרן, מנשה נוי, צחי גראד, רני בלייר, אפרת בן צור",ארי פולמן,Drama,tt0290238,http://www.wikidata.org/entity/Q6813243,Made in Israel,2001-01-01T00:00:00Z,6.8
"עפר שכטר, גל זייד, הדס מורנו, נועה ברקאי, שירי מימון, מלי לוי, מיכאל מושונוב, אמנון וולף",Dror Sabo,סרט דרמה,tt0833438,http://www.wikidata.org/entity/Q6710810,NO אקזיט,2006-01-01T00:00:00Z,5.7
,Avi Mograbi,Documentary,tt1270707,http://www.wikidata.org/entity/Q3574331,Z32,2009-01-01T00:00:00Z,6.8
"Yehuda Barkan, Alona Kimhi, Ben Tzion, Keren Mor, Uri Shamir",יעקב גולדווסר,"Drama, Comedy",tt0133331,http://www.wikidata.org/entity/Q6956016,אבא גנוב,1986-12-31T22:00:00Z,6.1
